datetime,temp,preciptype
2019-01-01,3.1,
2019-01-02,2.4,
2019-01-03,2.4,
2019-01-04,-0.8,
2019-01-05,-1.4,
2019-01-06,0.9,
2019-01-07,1.7,
2019-01-08,0.5,
2019-01-09,0.8,
2019-01-10,6.4,
2019-01-11,0.6,
2019-01-12,-0.4,
2019-01-13,0.9,
2019-01-14,3.9,
2019-01-15,4.6,
2019-01-16,2.8,
2019-01-17,4.6,rain
2019-01-18,5.8,rain
2019-01-19,4.3,
2019-01-20,1.1,
2019-01-21,1.2,
2019-01-22,1.6,
2019-01-23,1.5,
2019-01-24,3,
2019-01-25,1,
2019-01-26,-1.6,
2019-01-27,0.5,rain
2019-01-28,2.5,"rain,snow"
2019-01-29,1.7,
2019-01-30,3.1,rain
2019-01-31,2.6,"rain,snow"
2019-02-01,3.1,rain
2019-02-02,4.2,rain
2019-02-03,5.2,rain
2019-02-04,6,rain
2019-02-05,3.7,
2019-02-06,4.2,
2019-02-07,3.8,
2019-02-08,5.8,
2019-02-09,5.4,
2019-02-10,6.7,rain
2019-02-11,7.1,rain
2019-02-12,7.1,rain
2019-02-13,5.6,
2019-02-14,5.5,
2019-02-15,6.1,
2019-02-16,6.7,
2019-02-17,6.7,
2019-02-18,7.1,
2019-02-19,6,
2019-02-20,4.9,
2019-02-21,5.4,
2019-02-22,7.6,
2019-02-23,6,
2019-02-24,3.2,
2019-02-25,6.4,
2019-02-26,9.2,
2019-02-27,11.2,
2019-02-28,9.7,
2019-03-01,7.7,
2019-03-02,8.9,
2019-03-03,9.1,
2019-03-04,6.2,rain
2019-03-05,8.1,
2019-03-06,8.3,
2019-03-07,12.5,rain
2019-03-08,11.2,rain
2019-03-09,10.2,
2019-03-10,9.7,
2019-03-11,10,
2019-03-12,8.3,
2019-03-13,5.5,rain
2019-03-14,6.7,
2019-03-15,9.5,
2019-03-16,10.2,
2019-03-17,10.8,
2019-03-18,10.2,rain
2019-03-19,7.5,"rain,snow"
2019-03-20,8.1,
2019-03-21,9.3,
2019-03-22,10.8,
2019-03-23,13.5,
2019-03-24,14.4,
2019-03-25,14.2,
2019-03-26,10.2,
2019-03-27,9.7,
2019-03-28,10,
2019-03-29,11.2,
2019-03-30,12.4,
2019-03-31,13.4,
2019-04-01,15.1,
2019-04-02,15.2,
2019-04-03,14.1,rain
2019-04-04,11.9,rain
2019-04-05,10.4,rain
2019-04-06,11.4,rain
2019-04-07,11,rain
2019-04-08,11.7,rain
2019-04-09,13.8,rain
2019-04-10,13.7,rain
2019-04-11,11.8,rain
2019-04-12,12.1,rain
2019-04-13,10.6,rain
2019-04-14,10.1,rain
2019-04-15,12.6,rain
2019-04-16,12.7,
2019-04-17,14.2,
2019-04-18,15.4,
2019-04-19,15.3,rain
2019-04-20,16,
2019-04-21,16.4,
2019-04-22,14.8,
2019-04-23,13.4,rain
2019-04-24,16.4,rain
2019-04-25,15,rain
2019-04-26,15.4,rain
2019-04-27,14.3,
2019-04-28,11.9,rain
2019-04-29,10,rain
2019-04-30,14.5,rain
2019-05-01,16.1,
2019-05-02,15.5,
2019-05-03,14.9,rain
2019-05-04,13.7,rain
2019-05-05,8.6,rain
2019-05-06,11,rain
2019-05-07,12.7,
2019-05-08,11.8,rain
2019-05-09,13.6,rain
2019-05-10,15.7,rain
2019-05-11,15.1,rain
2019-05-12,12.3,rain
2019-05-13,15.7,rain
2019-05-14,12.9,rain
2019-05-15,9,rain
2019-05-16,12.8,
2019-05-17,15.5,
2019-05-18,14.1,rain
2019-05-19,13.8,rain
2019-05-20,14.3,rain
2019-05-21,16.3,rain
2019-05-22,17.4,rain
2019-05-23,19,rain
