data,val_stim,poi
2022-11-08 08:00:00,17.0,42
2022-11-08 08:00:00,79.0,49
2022-11-08 08:00:00,5.5,52
2022-11-08 08:00:00,6.5,54
2022-11-08 08:00:00,11.5,58
2022-11-08 08:00:00,8.5,59
2022-11-08 08:00:00,37.5,61
2022-11-08 08:00:00,9.0,62
2022-11-08 08:00:00,9.0,63
2022-11-08 08:00:00,48.0,71
2022-11-08 08:00:00,3.5,75
2022-11-08 08:00:00,6.0,76
2022-11-08 08:00:00,4.0,202
2022-11-08 12:00:00,17.0,42
2022-11-08 12:00:00,43.5,49
2022-11-08 12:00:00,35.5,52
2022-11-08 12:00:00,19.5,54
2022-11-08 12:00:00,11.5,58
2022-11-08 12:00:00,24.5,59
2022-11-08 12:00:00,37.5,61
2022-11-08 12:00:00,16.0,62
2022-11-08 12:00:00,3.0,63
2022-11-08 12:00:00,11.0,71
2022-11-08 12:00:00,3.5,75
2022-11-08 12:00:00,6.0,76
2022-11-08 12:00:00,4.0,202
2022-11-08 16:00:00,6.0,42
2022-11-08 16:00:00,14.0,49
2022-11-08 16:00:00,5.5,52
2022-11-08 16:00:00,6.5,54
2022-11-08 16:00:00,4.0,58
2022-11-08 16:00:00,8.5,59
2022-11-08 16:00:00,14.0,61
2022-11-08 16:00:00,3.0,62
2022-11-08 16:00:00,3.0,63
2022-11-08 16:00:00,11.0,71
2022-11-08 16:00:00,3.5,75
2022-11-08 16:00:00,2.0,76
2022-11-08 16:00:00,4.0,202
2022-11-15 16:00:00,17.0,42
2022-11-15 16:00:00,14.0,49
2022-11-15 16:00:00,5.5,52
2022-11-15 16:00:00,19.5,54
2022-11-15 16:00:00,11.5,58
2022-11-15 16:00:00,8.5,59
2022-11-15 16:00:00,14.0,61
2022-11-15 16:00:00,9.0,62
2022-11-15 16:00:00,9.0,63
2022-11-15 16:00:00,11.0,71
2022-11-15 16:00:00,3.5,75
2022-11-15 16:00:00,6.0,76
2022-11-15 16:00:00,4.0,202
2022-11-16 00:00:00,6.0,42
2022-11-16 00:00:00,79.0,49
2022-11-16 00:00:00,5.5,52
2022-11-16 00:00:00,6.5,54
2022-11-16 00:00:00,11.5,58
2022-11-16 00:00:00,8.5,59
2022-11-16 00:00:00,14.0,61
2022-11-16 00:00:00,9.0,62
2022-11-16 00:00:00,9.0,63
2022-11-16 00:00:00,30.0,71
2022-11-16 00:00:00,3.5,75
2022-11-16 00:00:00,11.0,76
2022-11-16 00:00:00,4.0,202
2022-11-16 08:00:00,17.0,42
2022-11-16 08:00:00,79.0,49
2022-11-16 08:00:00,5.5,52
