poi,count,popularity,position
49,11577,0.19756309834638816,1
61,8430,0.14385911022372394,2
59,7581,0.12937080837556955,3
71,6673,0.11387566340722538,4
54,4478,0.07641768630864008,5
52,3841,0.06554719363811669,6
58,3630,0.06194644959811601,7
42,3487,0.05950613491697811,8
202,2383,0.04066622297308828,9
62,1945,0.033191692691001556,10
63,1429,0.0243860816737487,11
76,1326,0.022628372497824196,12
201,1117,0.01906175873308418,13
301,481,0.00820833120019113,14
75,148,0.0025256403692895785,15
302,52,0.0008873871567774194,16
300,19,0.00032423761497636476,17
303,2,3.413027526066998e-05,18
