temp,rain,poi,count,popularity,position
4,no_rain,49,1572,19.672131147540984,1
4,no_rain,61,1199,15.004379927418347,2
4,no_rain,59,1002,12.539106494806656,3
4,no_rain,71,812,10.161431610561882,4
4,no_rain,54,703,8.797397071705669,5
4,no_rain,52,594,7.433362532849455,6
4,no_rain,42,510,6.382179952446503,7
4,no_rain,58,424,5.305969215367288,8
4,no_rain,202,313,3.916906519834814,9
4,no_rain,62,283,3.5414841696909027,10
4,no_rain,63,214,2.678012764359905,11
4,no_rain,76,161,2.0147666124389936,12
4,no_rain,201,122,1.5267175572519083,13
4,no_rain,301,57,0.7133024652734326,14
4,no_rain,75,17,0.21273933174821674,15
4,no_rain,302,8,0.10011262670504316,16
3,no_rain,49,2097,19.159433531292827,1
3,no_rain,61,1683,15.376884422110553,2
3,no_rain,71,1388,12.681589767016902,3
3,no_rain,59,1329,12.142530835998173,4
3,no_rain,58,768,7.016902695294655,5
3,no_rain,54,722,6.59661946094107,6
3,no_rain,42,691,6.313385107354956,7
3,no_rain,52,559,5.1073549566011875,8
3,no_rain,202,395,3.6089538602101414,9
3,no_rain,62,384,3.5084513476473274,10
3,no_rain,63,256,2.3389675650982182,11
3,no_rain,201,249,2.2750114207400642,12
3,no_rain,76,243,2.2201918684330746,13
3,no_rain,301,135,1.2334399269072636,14
3,no_rain,75,25,0.22841480127912286,15
3,no_rain,302,16,0.14618547281863864,16
3,no_rain,300,5,0.04568296025582458,17
2,no_rain,49,1995,19.02536715620828,1
2,no_rain,61,1390,13.25576959755865,2
2,no_rain,59,1339,12.769406828151823,3
2,no_rain,71,1282,12.225824909403013,4
2,no_rain,54,717,6.837688346366584,5
2,no_rain,58,685,6.532519549876026,6
2,no_rain,42,661,6.303642952508107,7
2,no_rain,52,644,6.141522029372497,8
2,no_rain,202,538,5.13065039099752,9
2,no_rain,62,288,2.7465191684150296,10
2,no_rain,76,285,2.71790959374404,11
2,no_rain,63,264,2.5176425710471104,12
2,no_rain,201,254,2.4222773221438105,13
2,no_rain,301,90,0.8582872401296968,14
2,no_rain,75,31,0.29563227160022887,15
2,no_rain,302,14,0.13351134846461948,16
2,no_rain,300,7,0.06675567423230974,17
2,no_rain,303,2,0.019073049780659927,18
1,no_rain,49,2032,20.239043824701195,1
1,no_rain,61,1465,14.591633466135459,2
1,no_rain,59,1348,13.42629482071713,3
1,no_rain,71,1026,10.219123505976095,4
1,no_rain,54,835,8.316733067729084,5
1,no_rain,52,667,6.643426294820717,6
1,no_rain,42,609,6.065737051792828,7
1,no_rain,58,601,5.98605577689243,8
1,no_rain,202,376,3.745019920318725,9
1,no_rain,62,331,3.2968127490039842,10
1,no_rain,76,238,2.3705179282868527,11
1,no_rain,63,219,2.181274900398406,12
1,no_rain,201,140,1.394422310756972,13
1,no_rain,301,88,0.8764940239043826,14
1,no_rain,75,51,0.5079681274900398,15
1,no_rain,302,10,0.099601593625498,16
1,no_rain,300,4,0.0398406374501992,17
0,no_rain,49,3881,20.28008569786278,1
0,no_rain,61,2693,14.072216125829545,2
0,no_rain,59,2563,13.39290379892355,3
0,no_rain,71,2165,11.313162982703663,4
0,no_rain,54,1501,7.843444636045358,5
0,no_rain,52,1377,7.195485185765794,6
0,no_rain,58,1152,6.019752312274651,7
0,no_rain,42,1016,5.309087108742227,8
0,no_rain,202,761,3.976589852118932,9
0,no_rain,62,659,3.443590949469614,10
0,no_rain,63,476,2.4873282123634843,11
0,no_rain,76,399,2.084966295657627,12
0,no_rain,201,352,1.8393687620839212,13
0,no_rain,301,111,0.5800282175889638,14
0,no_rain,75,24,0.12541150650572191,15
0,no_rain,302,4,0.02090191775095365,16
0,no_rain,300,3,0.01567643831321524,17
4,no_rain,300,0,0.0,17
4,no_rain,303,0,0.0,17
3,no_rain,303,0,0.0,18
1,no_rain,303,0,0.0,18
0,no_rain,303,0,0.0,18
