poi,count,popularity,position
61,787626,0.18392670076375167,1
59,609018,0.1422180977338718,2
71,564406,0.1318002877904818,3
54,473987,0.11068561108306273,4
49,421490,0.09842649316415873,5
52,420722,0.09824714953382332,6
202,206934,0.04832330052061027,7
62,188596,0.04404100430564825,8
63,179024,0.041805747496311545,9
42,143017,0.03339738018187499,10
58,111440,0.02602350802679506,11
76,79666,0.018603632362371277,12
75,62943,0.014698471515888024,13
201,33413,0.007802615521350532,14
300,0,0.0,15
301,0,0.0,15
302,0,0.0,15
303,0,0.0,15
