datetime,temp,preciptype
2022-01-01,0.7,
2022-01-02,-0.4,
2022-01-03,3,
2022-01-04,5.6,
2022-01-05,6.2,rain
2022-01-06,3.6,"rain,snow"
2022-01-07,0.9,
2022-01-08,-0.5,
2022-01-09,-0.8,
2022-01-10,0.8,
2022-01-11,1,
2022-01-12,0.5,
2022-01-13,-0.4,
2022-01-14,4.3,
2022-01-15,2.5,
2022-01-16,2.9,
2022-01-17,3.1,
2022-01-18,3.4,
2022-01-19,0.3,
2022-01-20,1.7,
2022-01-21,0,
2022-01-22,-0.1,
2022-01-23,-0.1,
2022-01-24,-1.6,
2022-01-25,2.7,
2022-01-26,2.4,
2022-01-27,2.6,
2022-01-28,2.1,
2022-01-29,1.3,
2022-01-30,1.6,
2022-01-31,1.5,
2022-02-01,6,
2022-02-02,3.7,
2022-02-03,5.9,
2022-02-04,6.3,
2022-02-05,6.4,
2022-02-06,3.3,
2022-02-07,6.9,rain
2022-02-08,4.4,
2022-02-09,4.5,
2022-02-10,5.6,
2022-02-11,7.2,
2022-02-12,5.2,
2022-02-13,2.5,
2022-02-14,3.6,rain
2022-02-15,3.5,"rain,snow"
2022-02-16,4.6,rain
2022-02-17,1.9,
2022-02-18,5.2,
2022-02-19,8.4,rain
2022-02-20,8.6,
2022-02-21,7,rain
2022-02-22,7.9,
2022-02-23,7.4,
2022-02-24,6.7,
2022-02-25,6.4,rain
2022-02-26,6.2,rain
2022-02-27,5.2,
2022-02-28,4.9,
2022-03-01,4.5,
2022-03-02,4.4,
2022-03-03,6.6,
2022-03-04,6.3,
2022-03-05,5.7,
2022-03-06,4.7,
2022-03-07,3.3,
2022-03-08,4.9,
2022-03-09,4.4,rain
2022-03-10,6.1,
2022-03-11,7.3,
2022-03-12,5.3,
2022-03-13,3.6,
2022-03-14,7.3,rain
2022-03-15,7.7,
2022-03-16,10.4,
2022-03-17,10,
2022-03-18,11,rain
2022-03-19,8.4,
2022-03-20,9.2,
2022-03-21,7.8,
2022-03-22,7.7,
2022-03-23,9.9,rain
2022-03-24,11.7,
2022-03-25,11.5,
2022-03-26,12.2,
2022-03-27,12.5,
2022-03-28,12.4,
2022-03-29,10.4,
2022-03-30,10.1,rain
2022-03-31,10.6,rain
2022-04-01,10.3,rain
2022-04-02,7.4,rain
2022-04-03,6.7,rain
2022-04-04,8,
2022-04-05,8.7,
2022-04-06,10.5,
2022-04-07,13.7,
2022-04-08,13.6,
2022-04-09,12.3,rain
2022-04-10,9.1,rain
2022-04-11,11,
2022-04-12,11.8,
2022-04-13,13.6,
2022-04-14,15.3,
2022-04-15,15.9,
2022-04-16,15.3,rain
2022-04-17,11.9,
2022-04-18,10.9,
2022-04-19,11.9,
2022-04-20,12.4,
2022-04-21,11,
2022-04-22,11,rain
2022-04-23,13.4,rain
2022-04-24,11.5,rain
2022-04-25,12.5,
2022-04-26,13.4,rain
2022-04-27,14,rain
2022-04-28,15.1,
2022-04-29,15.9,
2022-04-30,15.7,
2022-05-01,15.7,rain
2022-05-02,15.5,rain
2022-05-03,16.9,rain
2022-05-04,16,rain
2022-05-05,14.3,rain
2022-05-06,13.4,rain
2022-05-07,14.1,rain
2022-05-08,16.9,rain
2022-05-09,17.8,rain
2022-05-10,19,
2022-05-11,20.8,
2022-05-12,21.3,
2022-05-13,21.2,rain
2022-05-14,21.7,rain
2022-05-15,23.1,rain
2022-05-16,24.1,
2022-05-17,23.5,rain
2022-05-18,22.8,
2022-05-19,22.6,
2022-05-20,22.9,
2022-05-21,23.7,
2022-05-22,25,rain
2022-05-23,24.8,rain
2022-05-24,23.3,
2022-05-25,22.3,rain
2022-05-26,22.5,
2022-05-27,24.5,
2022-05-28,21.6,rain
2022-05-29,15.8,rain
2022-05-30,16.9,rain
2022-05-31,20.5,
2022-06-01,22.3,
2022-06-02,24,rain
2022-06-03,23.5,rain
2022-06-04,24.7,rain
2022-06-05,25.3,rain
2022-06-06,24.4,
2022-06-07,22.4,rain
2022-06-08,21.3,rain
2022-06-09,20.9,rain
2022-06-10,25.3,
2022-06-11,24.4,
2022-06-12,25.6,
2022-06-13,25.8,rain
2022-06-14,25.2,
2022-06-15,25.9,rain
2022-06-16,26.8,rain
2022-06-17,28.1,
2022-06-18,27,
2022-06-19,26.7,
2022-06-20,27.3,
2022-06-21,27.6,rain
2022-06-22,25.2,rain
2022-06-23,25.9,
2022-06-24,25.2,rain
2022-06-25,25.4,
2022-06-26,25,
2022-06-27,28.8,
2022-06-28,25.5,rain
2022-06-29,25.4,rain
2022-06-30,26.9,
2022-07-01,27.7,
2022-07-02,27.7,
2022-07-03,29.2,
2022-07-04,28.7,rain
2022-07-05,26.6,rain
2022-07-06,27.3,rain
2022-07-07,25.6,rain
2022-07-08,24.7,
2022-07-09,23.8,
2022-07-10,25.5,
2022-07-11,26,
2022-07-12,26.1,
2022-07-13,26.1,
2022-07-14,27.4,
2022-07-15,28.3,
2022-07-16,29.2,
2022-07-17,28.9,
2022-07-18,27.6,
2022-07-19,28.3,
2022-07-20,29.2,
2022-07-21,29.8,
2022-07-22,29.9,
2022-07-23,29.6,
2022-07-24,30.2,
2022-07-25,30.2,
2022-07-26,28.2,rain
2022-07-27,26.1,rain
2022-07-28,26.3,rain
2022-07-29,24.5,rain
2022-07-30,24.6,rain
2022-07-31,27,
2022-08-01,27.6,
2022-08-02,26.2,rain
2022-08-03,27.1,
2022-08-04,28.7,rain
2022-08-05,29.5,
2022-08-06,28.6,rain
2022-08-07,23.8,rain
2022-08-08,25.7,rain
2022-08-09,27,
2022-08-10,26.3,
2022-08-11,26.4,rain
2022-08-12,22.2,rain
2022-08-13,22.8,rain
2022-08-14,24.7,
2022-08-15,25.8,
2022-08-16,24.2,rain
2022-08-17,25.3,rain
2022-08-18,21.5,rain
2022-08-19,21.2,rain
2022-08-20,24.5,rain
2022-08-21,25.3,
2022-08-22,25.8,rain
2022-08-23,24,
2022-08-24,24.5,
2022-08-25,25.2,
2022-08-26,26.2,
2022-08-27,21.5,rain
2022-08-28,23.1,rain
2022-08-29,24.6,rain
2022-08-30,24.7,rain
2022-08-31,23,rain
2022-09-01,22.3,rain
2022-09-02,22.3,
2022-09-03,21.6,rain
2022-09-04,22.8,
2022-09-05,24,
2022-09-06,24.6,
2022-09-07,24.8,rain
2022-09-08,24.1,rain
2022-09-09,21.6,rain
2022-09-10,21,rain
2022-09-11,20.9,rain
2022-09-12,21.4,
2022-09-13,21.8,
2022-09-14,22.5,rain
2022-09-15,22.3,rain
2022-09-16,22.2,rain
2022-09-17,15.8,rain
2022-09-18,15.4,
2022-09-19,16.4,
2022-09-20,16.8,
2022-09-21,16.4,
2022-09-22,15.4,
